일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.000000,0.001700,0.0000,0.000000
2,0.008,0.0000,0.002100,0.002100,0.0000,0.001406
3,0.025,0.0000,0.002400,0.002400,0.0000,0.001607
4,0.041,0.0000,0.002800,0.002800,0.0000,0.001875
5,0.057,0.0000,0.003200,0.003200,0.0000,0.002143
6,0.073,0.0000,0.003600,0.003600,0.0000,0.002411
7,0.089,0.0000,0.004000,0.004000,0.0000,0.002679
8,0.106,0.0000,0.004400,0.004400,0.0000,0.002946
9,0.122,0.0000,0.004800,0.004800,0.0000,0.003214
10,0.137,0.0000,0.005200,0.005200,0.0000,0.003482
11,0.153,0.0000,0.005600,0.005600,0.0000,0.003750
12,0.169,0.0000,0.006000,0.006000,0.0000,0.004018
13,0.185,0.0000,0.006400,0.006400,0.0000,0.004286
14,0.202,0.0000,0.006800,0.006800,0.0000,0.004554
15,0.218,0.0000,0.007200,0.007200,0.0000,0.004821
16,0.233,0.0000,0.007600,0.007600,0.0000,0.005089
17,0.250,0.0000,0.008000,0.008000,0.0000,0.005357
18,0.265,0.0000,0.008400,0.008400,0.0000,0.005625
19,0.282,0.0000,0.008800,0.008800,0.0000,0.005893
20,0.298,0.0000,0.009200,0.009200,0.0000,0.006161
21,0.314,0.0000,0.009600,0.009600,0.0000,0.006429
22,0.330,0.0000,0.010000,0.010000,0.0000,0.006696
23,0.345,0.0000,0.010400,0.010400,0.0000,0.006964
24,0.363,0.0000,0.010800,0.010800,0.0000,0.007232
25,0.377,0.0000,0.011100,0.011100,0.0000,0.007433
26,0.394,0.0000,0.011500,0.011500,0.0000,0.007701
27,0.410,0.0000,0.011900,0.011900,0.0000,0.007969
28,0.425,0.0000,0.012300,0.012300,0.0000,0.008237
29,0.443,0.0000,0.012700,0.012700,0.0000,0.008504
30,0.458,0.0000,0.013100,0.013100,0.0000,0.008772
31,0.474,0.0000,0.013500,0.013500,0.0000,0.009040
32,0.489,0.0000,0.013900,0.013900,0.0000,0.009308
33,0.506,0.0000,0.014400,0.014400,0.0000,0.009643
34,0.522,0.0000,0.014800,0.014800,0.0000,0.009911
35,0.538,0.0000,0.015100,0.015100,0.0000,0.010112
36,0.555,0.0000,0.015500,0.015500,0.0000,0.010379
37,0.570,0.0000,0.015900,0.015900,0.0000,0.010647
38,0.586,0.0000,0.016300,0.016300,0.0000,0.010915
39,0.602,0.0000,0.016700,0.016700,0.0000,0.011183
40,0.618,0.0000,0.017100,0.017100,0.0000,0.011451
41,0.634,0.0000,0.017500,0.017500,0.0000,0.011719
42,0.650,0.0000,0.017900,0.017900,0.0000,0.011987
43,0.667,0.0000,0.018300,0.018300,0.0000,0.012254
44,0.682,0.0000,0.018700,0.018700,0.0000,0.012522
45,0.698,0.0000,0.019100,0.019100,0.0000,0.012790
46,0.714,0.0000,0.019500,0.019500,0.0000,0.013058
47,0.730,0.0000,0.019900,0.019900,0.0000,0.013326
48,0.746,0.0000,0.020300,0.020300,0.0000,0.013594
49,0.762,0.0000,0.020700,0.020700,0.0000,0.013862
50,0.778,0.0000,0.021100,0.021100,0.0000,0.014129
51,0.794,0.0000,0.021500,0.021500,0.0000,0.014397
52,0.810,0.0000,0.021900,0.021900,0.0000,0.014665
53,0.826,0.0000,0.022300,0.022300,0.0000,0.014933
54,0.843,0.0000,0.022700,0.022700,0.0000,0.015201
55,0.859,0.0000,0.023100,0.023100,0.0000,0.015469
56,0.875,0.0000,0.023400,0.023400,0.0000,0.015670
57,0.891,0.0000,0.023800,0.023800,0.0000,0.015938
58,0.906,0.0000,0.024200,0.024200,0.0000,0.016205
59,0.922,0.0000,0.024600,0.024600,0.0000,0.016473
60,0.938,0.0000,0.025000,0.025000,0.0000,0.016741
61,0.954,0.0000,0.025400,0.025400,0.0000,0.017009
62,0.970,0.0000,0.025800,0.025800,0.0000,0.017277
63,0.986,0.0000,0.026200,0.026200,0.0000,0.017545
64,1.002,0.0000,0.026600,0.026600,0.0000,0.017812
65,1.018,0.0000,0.027000,0.027000,0.0000,0.018080
66,1.034,0.0000,0.027400,0.027400,0.0000,0.018348
67,1.051,0.0000,0.027800,0.027800,0.0000,0.018616
68,1.066,0.0000,0.028200,0.028200,0.0000,0.018884
69,1.082,0.0000,0.028600,0.028600,0.0000,0.019152
70,1.098,0.0000,0.029000,0.029000,0.0000,0.019420
71,1.115,0.0000,0.029400,0.029400,0.0000,0.019688
72,1.131,0.0000,0.029800,0.029800,0.0000,0.019955
73,1.147,0.0000,0.030200,0.030200,0.0000,0.020223
74,1.162,0.0000,0.030600,0.030600,0.0000,0.020491
75,1.179,0.0000,0.031000,0.031000,0.0000,0.020759
76,1.195,0.0000,0.031400,0.031400,0.0000,0.021027
77,1.210,0.0000,0.031800,0.031800,0.0000,0.021295
78,1.228,0.0000,0.032200,0.032200,0.0000,0.021563
79,1.243,0.0000,0.032600,0.032600,0.0000,0.021830
80,1.258,0.0000,0.033000,0.033000,0.0000,0.022098
81,1.274,0.0000,0.033300,0.033300,0.0000,0.022299
82,1.290,0.0000,0.033700,0.033700,0.0000,0.022567
83,1.306,0.0000,0.034200,0.034200,0.0000,0.022902
84,1.322,0.0000,0.034600,0.034600,0.0000,0.023170
85,1.338,0.0000,0.035000,0.035000,0.0000,0.023438
86,1.355,0.0000,0.035400,0.035400,0.0000,0.023705
87,1.370,0.0000,0.035800,0.035800,0.0000,0.023973
88,1.388,0.0000,0.036200,0.036200,0.0000,0.024241
89,1.403,0.0000,0.036600,0.036600,0.0000,0.024509
90,1.418,0.0000,0.036900,0.036900,0.0000,0.024710
91,1.435,0.0000,0.037300,0.037300,0.0000,0.024978
92,1.451,0.0000,0.037700,0.037700,0.0000,0.025246
93,1.466,0.0000,0.038100,0.038100,0.0000,0.025513
94,1.484,0.0000,0.038500,0.038500,0.0000,0.025781
95,1.499,0.0000,0.038900,0.038900,0.0000,0.026049
96,1.515,0.0000,0.039300,0.039300,0.0000,0.026317
97,1.530,0.0000,0.039700,0.039700,0.0000,0.026585
98,1.547,0.0000,0.040100,0.040100,0.0000,0.026853
99,1.563,0.0000,0.040500,0.040500,0.0000,0.027121
100,1.579,0.0000,0.040900,0.040900,0.0000,0.027388
101,1.594,0.0000,0.041300,0.041300,0.0000,0.027656
102,1.611,0.0000,0.041700,0.041700,0.0000,0.027924
103,1.627,0.0000,0.042100,0.042100,0.0000,0.028192
104,1.643,0.0000,0.042500,0.042500,0.0000,0.028460
105,1.659,0.0000,0.042900,0.042900,0.0000,0.028728
106,1.676,0.0000,0.043300,0.043300,0.0000,0.028996
107,1.691,0.0000,0.043700,0.043700,0.0000,0.029263
108,1.707,0.0000,0.044100,0.044100,0.0000,0.029531
109,1.723,0.0000,0.044500,0.044500,0.0000,0.029799
110,1.738,0.0000,0.044800,0.044800,0.0000,0.030000
111,1.755,0.0000,0.045200,0.045200,0.0000,0.030268
112,1.771,0.0000,0.045600,0.045600,0.0000,0.030536
113,1.788,0.0000,0.046000,0.046000,0.0000,0.030804
114,1.803,0.0000,0.046400,0.046400,0.0000,0.031071
115,1.819,0.0000,0.046800,0.046800,0.0000,0.031339
116,1.835,0.0000,0.047200,0.047200,0.0000,0.031607
117,1.851,0.0000,0.047600,0.047600,0.0000,0.031875
118,1.867,0.0000,0.048000,0.048000,0.0000,0.032143
119,1.884,0.0000,0.048400,0.048400,0.0000,0.032411
120,1.901,0.0000,0.048800,0.048800,0.0000,0.032679
121,1.916,0.0000,0.049200,0.049200,0.0000,0.032946
122,1.932,0.0000,0.049600,0.049600,0.0000,0.033214
123,1.948,0.0000,0.050000,0.050000,0.0000,0.033482
124,1.963,0.0000,0.050400,0.050400,0.0000,0.033750
125,1.980,0.0000,0.050800,0.050800,0.0000,0.034018
126,1.995,0.0000,0.051200,0.051200,0.0000,0.034286
127,2.011,0.0000,0.051600,0.051600,0.0000,0.034554
128,2.027,0.0000,0.052000,0.052000,0.0000,0.034821
129,2.044,0.0000,0.052300,0.052300,0.0000,0.035022
130,2.060,0.0000,0.052700,0.052700,0.0000,0.035290
131,2.076,0.0000,0.053100,0.053100,0.0000,0.035558
132,2.092,0.0000,0.053500,0.053500,0.0000,0.035826
133,2.108,0.0000,0.053900,0.053900,0.0000,0.036094
134,2.124,0.0000,0.054300,0.054300,0.0000,0.036362
135,2.140,0.0000,0.054700,0.054700,0.0000,0.036629
136,2.155,0.0000,0.055100,0.055100,0.0000,0.036897
137,2.171,0.0000,0.055600,0.055600,0.0000,0.037232
138,2.188,0.0000,0.056000,0.056000,0.0000,0.037500
139,2.204,0.0000,0.056400,0.056400,0.0000,0.037768
140,2.219,0.0000,0.056700,0.056700,0.0000,0.037969
141,2.236,0.0000,0.057100,0.057100,0.0000,0.038237
142,2.252,0.0000,0.057500,0.057500,0.0000,0.038504
143,2.267,0.0000,0.057900,0.057900,0.0000,0.038772
144,2.284,0.0000,0.058300,0.058300,0.0000,0.039040
145,2.299,0.0000,0.058700,0.058700,0.0000,0.039308
146,2.316,0.0000,0.059100,0.059100,0.0000,0.039576
147,2.332,0.0000,0.059500,0.059500,0.0000,0.039844
148,2.348,0.0000,0.059900,0.059900,0.0000,0.040112
149,2.364,0.0000,0.060300,0.060300,0.0000,0.040379
150,2.379,0.0000,0.060700,0.060700,0.0000,0.040647
151,2.396,0.0000,0.061100,0.061100,0.0000,0.040915
152,2.412,0.0000,0.061500,0.061500,0.0000,0.041183
153,2.429,0.0000,0.061900,0.061900,0.0000,0.041451
154,2.444,0.0000,0.062300,0.062300,0.0000,0.041719
155,2.461,0.0000,0.062700,0.062700,0.0000,0.041987
156,2.476,0.0000,0.063100,0.063100,0.0000,0.042254
157,2.492,0.0000,0.063500,0.063500,0.0000,0.042522
158,2.508,0.0000,0.063900,0.063900,0.0000,0.042790
159,2.524,0.0000,0.064300,0.064300,0.0000,0.043058
160,2.540,0.0000,0.064700,0.064700,0.0000,0.043326
161,2.556,0.0000,0.065100,0.065100,0.0000,0.043594
162,2.573,0.0000,0.065400,0.065400,0.0000,0.043795
163,2.588,0.0000,0.065800,0.065800,0.0000,0.044063
164,2.604,0.0000,0.066200,0.066200,0.0000,0.044330
165,2.620,0.0000,0.066600,0.066600,0.0000,0.044598
166,2.636,0.0000,0.067000,0.067000,0.0000,0.044866
167,2.652,0.0000,0.067400,0.067400,0.0000,0.045134
168,2.669,0.0000,0.067800,0.067800,0.0000,0.045402
169,2.684,0.0000,0.068200,0.068200,0.0000,0.045670
170,2.700,0.0000,0.068600,0.068600,0.0000,0.045937
171,2.716,0.0000,0.069000,0.069000,0.0000,0.046205
172,2.733,0.0000,0.069400,0.069400,0.0000,0.046473
173,2.748,0.0000,0.069800,0.069800,0.0000,0.046741
174,2.765,0.0000,0.070200,0.070200,0.0000,0.047009
175,2.780,0.0000,0.070600,0.070600,0.0000,0.047277
176,2.796,0.0000,0.071000,0.071000,0.0000,0.047545
177,2.812,0.0000,0.071400,0.071400,0.0000,0.047813
178,2.828,0.0000,0.071800,0.071800,0.0000,0.048080
179,2.845,0.0000,0.072400,0.072400,0.0000,0.048482
180,2.860,0.0000,0.072800,0.072800,0.0000,0.048750
181,2.876,0.0000,0.073200,0.073200,0.0000,0.049018
182,2.893,0.0000,0.073600,0.073600,0.0000,0.049286
183,2.909,0.0000,0.074000,0.074000,0.0000,0.049554
184,2.925,0.0000,0.074400,0.074400,0.0000,0.049821
185,2.940,0.0000,0.074800,0.074800,0.0000,0.050089
186,2.956,0.0000,0.075200,0.075200,0.0000,0.050357
187,2.973,0.0000,0.075600,0.075600,0.0000,0.050625
188,2.988,0.0000,0.076000,0.076000,0.0000,0.050893
189,3.005,0.0000,0.076400,0.076400,0.0000,0.051161
190,3.021,0.0000,0.076800,0.076800,0.0000,0.051429
191,3.036,0.0000,0.077200,0.077200,0.0000,0.051696
192,3.053,0.0000,0.077600,0.077600,0.0000,0.051964
193,3.068,0.0000,0.078000,0.078000,0.0000,0.052232
194,3.085,0.0000,0.078400,0.078400,0.0000,0.052500
195,3.100,0.0000,0.078700,0.078700,0.0000,0.052701
196,3.117,0.0000,0.079100,0.079100,0.0000,0.052969
197,3.134,0.0000,0.079500,0.079500,0.0000,0.053237
198,3.148,0.0000,0.079900,0.079900,0.0000,0.053504
199,3.164,0.0000,0.080300,0.080300,0.0000,0.053772
200,3.181,0.0000,0.080700,0.080700,0.0000,0.054040
201,3.196,0.0000,0.081100,0.081100,0.0000,0.054308
202,3.213,0.0000,0.081500,0.081500,0.0000,0.054576
203,3.229,0.0000,0.081900,0.081900,0.0000,0.054844
204,3.245,0.0000,0.082300,0.082300,0.0000,0.055112
205,3.261,0.0000,0.082700,0.082700,0.0000,0.055379
206,3.276,0.0000,0.083100,0.083100,0.0000,0.055647
207,3.293,0.0000,0.083500,0.083500,0.0000,0.055915
208,3.309,0.0000,0.083900,0.083900,0.0000,0.056183
209,3.325,0.0000,0.084300,0.084300,0.0000,0.056451
210,3.341,0.0000,0.084700,0.084700,0.0000,0.056719
211,3.357,0.0000,0.085100,0.085100,0.0000,0.056987
212,3.373,0.0000,0.085500,0.085500,0.0000,0.057254
213,3.389,0.0000,0.085900,0.085900,0.0000,0.057522
214,3.405,0.0000,0.086300,0.086300,0.0000,0.057790
215,3.420,0.0000,0.086600,0.086600,0.0000,0.057991
216,3.438,0.0000,0.087000,0.087000,0.0000,0.058259
217,3.453,0.0000,0.087400,0.087400,0.0000,0.058527
218,3.469,0.0000,0.087800,0.087800,0.0000,0.058795
219,3.484,0.0000,0.088200,0.088200,0.0000,0.059063
220,3.501,0.0000,0.088600,0.088600,0.0000,0.059330
221,3.516,0.0000,0.089000,0.089000,0.0000,0.059598
222,3.533,0.0000,0.089400,0.089400,0.0000,0.059866
223,3.550,0.0000,0.089800,0.089800,0.0000,0.060134
224,3.565,0.0000,0.090200,0.090200,0.0000,0.060402
225,3.582,0.0000,0.090600,0.090600,0.0000,0.060670
226,3.597,0.0000,0.091000,0.091000,0.0000,0.060937
227,3.614,0.0000,0.091400,0.091400,0.0000,0.061205
228,3.629,0.0000,0.091800,0.091800,0.0000,0.061473
229,3.645,0.0000,0.092200,0.092200,0.0000,0.061741
230,3.661,0.0000,0.092600,0.092600,0.0000,0.062009
231,3.677,0.0000,0.093000,0.093000,0.0000,0.062277
232,3.693,0.0000,0.093400,0.093400,0.0000,0.062545
233,3.709,0.0000,0.093800,0.093800,0.0000,0.062813
234,3.725,0.0000,0.094100,0.094100,0.0000,0.063013
235,3.741,0.0000,0.094500,0.094500,0.0000,0.063281
236,3.757,0.0000,0.094900,0.094900,0.0000,0.063549
237,3.774,0.0000,0.095300,0.095300,0.0000,0.063817
238,3.789,0.0000,0.095700,0.095700,0.0000,0.064085
239,3.805,0.0000,0.096100,0.096100,0.0000,0.064353
240,3.821,0.0000,0.096500,0.096500,0.0000,0.064621
241,3.838,0.0000,0.096900,0.096900,0.0000,0.064888
242,3.853,0.0000,0.097400,0.097400,0.0000,0.065223
243,3.869,0.0000,0.097800,0.097800,0.0000,0.065491
244,3.887,0.0000,0.098200,0.098200,0.0000,0.065759
245,3.901,0.0000,0.098500,0.098500,0.0000,0.065960
246,3.918,0.0000,0.098900,0.098900,0.0000,0.066228
247,3.934,0.0000,0.099300,0.099300,0.0000,0.066496
248,3.951,0.0000,0.099700,0.099700,0.0000,0.066763
249,3.966,0.0000,0.100100,0.100100,0.0000,0.067031
250,3.982,0.0000,0.100500,0.100500,0.0000,0.067299
251,3.997,0.0000,0.100900,0.100900,0.0000,0.067567
252,4.014,0.0000,0.101300,0.101300,0.0000,0.067835
253,4.030,0.0000,0.101700,0.101700,0.0000,0.068103
254,4.046,0.0000,0.102100,0.102100,0.0000,0.068371
255,4.062,0.0000,0.102500,0.102500,0.0000,0.068638
256,4.077,0.0000,0.102900,0.102900,0.0000,0.068906
257,4.093,0.0000,0.103300,0.103300,0.0000,0.069174
258,4.109,0.0000,0.103700,0.103700,0.0000,0.069442
259,4.125,0.0000,0.104100,0.104100,0.0000,0.069710
260,4.142,0.0000,0.104500,0.104500,0.0000,0.069978
261,4.158,0.0000,0.104900,0.104900,0.0000,0.070246
262,4.174,0.0000,0.105300,0.105300,0.0000,0.070513
263,4.189,0.0000,0.105700,0.105700,0.0000,0.070781
264,4.206,0.0000,0.106100,0.106100,0.0000,0.071049
265,4.222,0.0000,0.106500,0.106500,0.0000,0.071317
266,4.237,0.0000,0.106800,0.106800,0.0000,0.071518
267,4.255,0.0000,0.107200,0.107200,0.0000,0.071786
268,4.270,0.0000,0.107600,0.107600,0.0000,0.072054
269,4.286,0.0000,0.108000,0.108000,0.0000,0.072321
270,4.302,0.0000,0.108400,0.108400,0.0000,0.072589
271,4.318,0.0000,0.108800,0.108800,0.0000,0.072857
272,4.334,0.0000,0.109200,0.109200,0.0000,0.073125
273,4.350,0.0000,0.109600,0.109600,0.0000,0.073393
274,4.367,0.0000,0.110000,0.110000,0.0000,0.073661
275,4.382,0.0000,0.110400,0.110400,0.0000,0.073929
276,4.398,0.0000,0.110800,0.110800,0.0000,0.074196
277,4.413,0.0000,0.111200,0.111200,0.0000,0.074464
278,4.430,0.0000,0.111600,0.111600,0.0000,0.074732
279,4.446,0.0000,0.112000,0.112000,0.0000,0.075000
280,4.463,0.0000,0.112400,0.112400,0.0000,0.075268
281,4.479,0.0000,0.112800,0.112800,0.0000,0.075536
282,4.494,0.0000,0.113200,0.113200,0.0000,0.075804
283,4.510,0.0000,0.113600,0.113600,0.0000,0.076071
284,4.526,0.0000,0.114000,0.114000,0.0000,0.076339
285,4.542,0.0000,0.114400,0.114400,0.0000,0.076607
286,4.558,0.0000,0.114800,0.114800,0.0000,0.076875
287,4.574,0.0000,0.115200,0.115200,0.0000,0.077143
288,4.590,0.0000,0.115600,0.115600,0.0000,0.077411
289,4.606,0.0000,0.116000,0.116000,0.0000,0.077679
290,4.623,0.0000,0.116300,0.116300,0.0000,0.077879
291,4.639,0.0000,0.116700,0.116700,0.0000,0.078147
292,4.654,0.0000,0.117200,0.117200,0.0000,0.078482
293,4.671,0.0000,0.117600,0.117600,0.0000,0.078750
294,4.686,0.0000,0.118000,0.118000,0.0000,0.079018
295,4.703,0.0000,0.118400,0.118400,0.0000,0.079286
296,4.719,0.0000,0.118800,0.118800,0.0000,0.079554
297,4.734,0.0000,0.119200,0.119200,0.0000,0.079821
298,4.750,0.0000,0.119600,0.119600,0.0000,0.080089
299,4.767,0.0000,0.120000,0.120000,0.0000,0.080357
300,4.783,0.0000,0.120300,0.120300,0.0000,0.080558
301,4.798,0.0000,0.120700,0.120700,0.0000,0.080826
302,4.815,0.0000,0.121100,0.121100,0.0000,0.081094
303,4.830,0.0000,0.121500,0.121500,0.0000,0.081362
304,4.847,0.0000,0.121900,0.121900,0.0000,0.081629
305,4.862,0.0000,0.122300,0.122300,0.0000,0.081897
306,4.878,0.0000,0.122700,0.122700,0.0000,0.082165
307,4.895,0.0000,0.123100,0.123100,0.0000,0.082433
308,4.910,0.0000,0.123500,0.123500,0.0000,0.082701
309,4.927,0.0000,0.123900,0.123900,0.0000,0.082969
310,4.943,0.0000,0.124300,0.124300,0.0000,0.083237
311,4.959,0.0000,0.124700,0.124700,0.0000,0.083504
312,4.975,0.0000,0.125100,0.125100,0.0000,0.083772
313,4.990,0.0000,0.125500,0.125500,0.0000,0.084040
314,5.007,0.0000,0.125900,0.125900,0.0000,0.084308
315,5.022,0.0000,0.126300,0.126300,0.0000,0.084576
316,5.039,0.0000,0.126700,0.126700,0.0000,0.084844
317,5.055,0.0000,0.127100,0.127100,0.0000,0.085112
318,5.071,0.0000,0.127500,0.127500,0.0000,0.085379
319,5.087,0.0000,0.127900,0.127900,0.0000,0.085647
320,5.103,0.0000,0.128200,0.128200,0.0000,0.085848
321,5.118,0.0000,0.128600,0.128600,0.0000,0.086116
322,5.135,0.0000,0.129000,0.129000,0.0000,0.086384
323,5.152,0.0000,0.129400,0.129400,0.0000,0.086652
324,5.166,0.0000,0.129800,0.129800,0.0000,0.086920
325,5.184,0.0000,0.130200,0.130200,0.0000,0.087187
326,5.200,0.0000,0.130600,0.130600,0.0000,0.087455
327,5.214,0.0000,0.131000,0.131000,0.0000,0.087723
328,5.230,0.0000,0.131400,0.131400,0.0000,0.087991
329,5.247,0.0000,0.131800,0.131800,0.0000,0.088259
330,5.264,0.0000,0.132200,0.132200,0.0000,0.088527
331,5.278,0.0000,0.132600,0.132600,0.0000,0.088795
332,5.295,0.0000,0.133000,0.133000,0.0000,0.089063
333,5.312,0.0000,0.133400,0.133400,0.0000,0.089330
334,5.327,0.0000,0.133800,0.133800,0.0000,0.089598
335,5.343,0.0000,0.134200,0.134200,0.0000,0.089866
336,5.359,0.0000,0.134600,0.134600,0.0000,0.090134
337,5.376,0.0000,0.135000,0.135000,0.0000,0.090402
338,5.391,0.0000,0.135400,0.135400,0.0000,0.090670
339,5.407,0.0000,0.135700,0.135700,0.0000,0.090871
340,5.423,0.0000,0.136100,0.136100,0.0000,0.091138
341,5.439,0.0000,0.136500,0.136500,0.0000,0.091406
342,5.455,0.0000,0.136900,0.136900,0.0000,0.091674
343,5.471,0.0000,0.137300,0.137300,0.0000,0.091942
344,5.488,0.0000,0.137700,0.137700,0.0000,0.092210
345,5.503,0.0000,0.138100,0.138100,0.0000,0.092478
346,5.520,0.0000,0.138600,0.138600,0.0000,0.092813
347,5.535,0.0000,0.139000,0.139000,0.0000,0.093080
348,5.552,0.0000,0.139400,0.139400,0.0000,0.093348
349,5.568,0.0000,0.139800,0.139800,0.0000,0.093616
350,5.584,0.0000,0.140100,0.140100,0.0000,0.093817
351,5.600,0.0000,0.140500,0.140500,0.0000,0.094085
352,5.616,0.0000,0.140900,0.140900,0.0000,0.094353
353,5.632,0.0000,0.141300,0.141300,0.0000,0.094621
354,5.647,0.0000,0.141700,0.141700,0.0000,0.094888
355,5.664,0.0000,0.142100,0.142100,0.0000,0.095156
356,5.679,0.0000,0.142500,0.142500,0.0000,0.095424
357,5.695,0.0000,0.142900,0.142900,0.0000,0.095692
358,5.712,0.0000,0.143300,0.143300,0.0000,0.095960
359,5.727,0.0000,0.143700,0.143700,0.0000,0.096228
360,5.744,0.0000,0.144100,0.144100,0.0000,0.096496
361,5.759,0.0000,0.144500,0.144500,0.0000,0.096763
362,5.775,0.0000,0.144900,0.144900,0.0000,0.097031
363,5.791,0.0000,0.145300,0.145300,0.0000,0.097299
364,5.807,0.0000,0.145700,0.145700,0.0000,0.097567
365,5.824,0.0000,0.146100,0.146100,0.0000,0.097835
366,5.840,0.0000,0.146500,0.146500,0.0000,0.098103
367,5.856,0.0000,0.146900,0.146900,0.0000,0.098371
368,5.871,0.0000,0.147300,0.147300,0.0000,0.098638
369,5.888,0.0000,0.147700,0.147700,0.0000,0.098906
370,5.904,0.0000,0.148100,0.148100,0.0000,0.099174
371,5.920,0.0000,0.148500,0.148500,0.0000,0.099442
372,5.936,0.0000,0.148800,0.148800,0.0000,0.099643
373,5.951,0.0000,0.149200,0.149200,0.0000,0.099911
374,5.968,0.0000,0.149600,0.149600,0.0000,0.100179
375,5.984,0.0000,0.150000,0.150000,0.0000,0.100446
376,6.000,0.0000,0.150400,0.150400,0.0000,0.100714
377,6.016,0.0000,0.150800,0.150800,0.0000,0.100982
378,6.032,0.0000,0.151200,0.151200,0.0000,0.101250
379,6.048,0.0000,0.151600,0.151600,0.0000,0.101518
380,6.064,0.0000,0.152000,0.152000,0.0000,0.101786
381,6.080,0.0000,0.152400,0.152400,0.0000,0.102054
382,6.095,0.0000,0.152800,0.152800,0.0000,0.102321
383,6.111,0.0000,0.153200,0.153200,0.0000,0.102589
384,6.128,0.0000,0.153600,0.153600,0.0000,0.102857
385,6.144,0.0000,0.154000,0.154000,0.0000,0.103125
386,6.161,0.0000,0.154400,0.154400,0.0000,0.103393
387,6.176,0.0000,0.154800,0.154800,0.0000,0.103661
388,6.192,0.0000,0.155200,0.155200,0.0000,0.103929
389,6.209,0.0000,0.155600,0.155600,0.0000,0.104196
390,6.224,0.0000,0.156000,0.156000,0.0000,0.104464
391,6.240,0.0000,0.156400,0.156400,0.0000,0.104732
392,6.257,0.0000,0.156800,0.156800,0.0000,0.105000
393,6.272,0.0000,0.157200,0.157200,0.0000,0.105268
394,6.288,0.0000,0.157600,0.157600,0.0000,0.105536
395,6.304,0.0000,0.158000,0.158000,0.0000,0.105804
396,6.320,0.0000,0.158400,0.158400,0.0000,0.106071
397,6.336,0.0000,0.158800,0.158800,0.0000,0.106339
398,6.352,0.0000,0.159200,0.159200,0.0000,0.106607
399,6.368,0.0000,0.159600,0.159600,0.0000,0.106875
400,6.385,0.0000,0.160000,0.160000,0.0000,0.107143
401,6.400,0.0000,0.160400,0.160400,0.0000,0.107411
402,6.417,0.0000,0.160800,0.160800,0.0000,0.107679
403,6.433,0.0000,0.161200,0.161200,0.0000,0.107946
404,6.448,0.0000,0.161600,0.161600,0.0000,0.108214
405,6.465,0.0000,0.162000,0.162000,0.0000,0.108482
406,6.481,0.0000,0.162300,0.162300,0.0000,0.108683
407,6.496,0.0000,0.162700,0.162700,0.0000,0.108951
408,6.512,0.0000,0.163100,0.163100,0.0000,0.109219
409,6.528,0.0000,0.163500,0.163500,0.0000,0.109487
410,6.544,0.0000,0.163900,0.163900,0.0000,0.109754
411,6.561,0.0000,0.164300,0.164300,0.0000,0.110022
412,6.577,0.0104,0.164700,0.164700,0.0055,0.110290
413,6.592,0.0000,0.165100,0.165100,0.0000,0.110558
414,6.610,0.0000,0.165500,0.165500,0.0000,0.110826
415,6.624,0.0000,0.165900,0.165900,0.0000,0.111094
416,6.641,0.0000,0.166300,0.166300,0.0000,0.111362
417,6.656,0.0000,0.166700,0.166700,0.0000,0.111629
418,6.673,0.0000,0.167100,0.167100,0.0000,0.111897
419,6.688,0.0000,0.167500,0.167500,0.0000,0.112165
420,6.705,0.0000,0.167900,0.167900,0.0000,0.112433
421,6.721,0.0000,0.168300,0.168300,0.0000,0.112701
422,6.737,0.0000,0.168700,0.168700,0.0000,0.112969
423,6.752,0.0000,0.169100,0.169100,0.0000,0.113237
424,6.769,0.0110,0.169500,0.169500,0.0058,0.113504
425,6.784,0.0000,0.169800,0.169800,0.0000,0.113705
426,6.801,0.0000,0.170200,0.170200,0.0000,0.113973
427,6.816,0.0000,0.170600,0.170600,0.0000,0.114241
428,6.834,0.0000,0.171000,0.171000,0.0000,0.114509
429,6.849,0.0000,0.171400,0.171400,0.0000,0.114777
430,6.865,0.0000,0.171800,0.171800,0.0000,0.115045
431,6.881,0.0000,0.172200,0.172200,0.0000,0.115312
432,6.897,0.0000,0.172600,0.172600,0.0000,0.115580
433,6.913,0.0000,0.173000,0.173000,0.0000,0.115848
434,6.929,0.0000,0.173400,0.173400,0.0000,0.116116
435,6.946,0.0000,0.173800,0.173800,0.0000,0.116384
436,6.961,0.0000,0.174200,0.174200,0.0000,0.116652
437,6.977,0.0000,0.174600,0.174600,0.0000,0.116920
438,6.992,0.0000,0.175000,0.175000,0.0000,0.117187
439,7.009,0.0000,0.175400,0.175400,0.0000,0.117455
440,7.026,0.0000,0.175800,0.175800,0.0000,0.117723
441,7.040,0.0000,0.176200,0.176200,0.0000,0.117991
442,7.058,0.0000,0.176600,0.176600,0.0000,0.118259
443,7.073,0.0000,0.177000,0.177000,0.0000,0.118527
444,7.089,0.0000,0.177400,0.177400,0.0000,0.118795
445,7.105,0.0000,0.177700,0.177700,0.0000,0.118996
446,7.121,0.0000,0.178100,0.178100,0.0000,0.119263
447,7.137,0.0000,0.178500,0.178500,0.0000,0.119531
448,7.153,0.0000,0.178900,0.178900,0.0000,0.119799
449,7.170,0.0000,0.179300,0.179300,0.0000,0.120067
